,property_type,place_name,state_name,price_aprox_usd,surface_covered_in_m2,ambientes,baños,balcón,cochera,parrilla,pileta,amoblado,lavadero,patio,terraza,jardin
25143,house,Castelar,Bs.As. G.B.A. Zona Oeste,132000.0,70.0,1.0,1.0,0,1,0,0,0,1,1,1,0
25144,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,270000.0,200.0,1.0,1.0,0,1,0,0,0,0,1,0,1
25145,apartment,Munro,Bs.As. G.B.A. Zona Norte,78000.0,23.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25146,house,Adrogué,Bs.As. G.B.A. Zona Sur,160000.0,120.0,1.0,1.0,0,1,0,0,0,1,0,0,1
25147,house,Pilar,Bs.As. G.B.A. Zona Norte,270000.0,255.0,1.0,1.0,0,0,1,0,0,1,0,0,1
25148,apartment,Ituzaingó,Bs.As. G.B.A. Zona Oeste,135000.0,51.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25149,apartment,Olivos,Bs.As. G.B.A. Zona Norte,250000.0,44.0,1.0,1.0,1,1,0,1,0,0,0,0,0
25150,house,Beccar,Bs.As. G.B.A. Zona Norte,405000.0,200.0,1.0,1.0,1,0,0,0,0,1,0,1,0
25151,apartment,Ituzaingó,Bs.As. G.B.A. Zona Oeste,125000.0,45.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25152,apartment,Martínez,Bs.As. G.B.A. Zona Norte,370000.0,92.0,1.0,1.0,1,1,1,1,0,0,0,1,0
25153,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,180000.0,142.0,1.0,1.0,0,1,0,0,0,1,1,0,0
25154,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,170000.0,46.0,2.0,1.0,1,1,1,1,0,1,0,0,0
25155,apartment,Pilar,Bs.As. G.B.A. Zona Norte,87734.94,48.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25156,apartment,Martínez,Bs.As. G.B.A. Zona Norte,365000.0,78.0,1.0,1.0,1,1,1,0,0,0,0,1,0
25157,apartment,Palermo,Capital Federal,152460.0,30.0,1.0,1.0,0,1,0,1,0,0,0,0,0
25158,apartment,Ituzaingó,Bs.As. G.B.A. Zona Oeste,185000.0,51.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25159,apartment,Villa Ballester,Bs.As. G.B.A. Zona Norte,66000.0,35.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25160,apartment,La Plata,Bs.As. G.B.A. Zona Sur,215000.0,76.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25161,apartment,Colegiales,Capital Federal,295000.0,85.0,1.0,1.0,1,1,1,1,0,1,0,1,0
25162,apartment,Pilar,Bs.As. G.B.A. Zona Norte,106858.19,54.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25163,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,170000.0,46.0,2.0,1.0,1,1,1,1,0,0,0,0,0
25164,apartment,Ituzaingó,Bs.As. G.B.A. Zona Oeste,200000.0,51.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25165,apartment,Olivos,Bs.As. G.B.A. Zona Norte,256200.0,52.0,2.0,1.0,0,1,0,0,0,0,0,0,0
25166,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,190000.0,120.0,1.0,1.0,0,1,0,0,0,1,0,0,0
25167,apartment,Pilar,Bs.As. G.B.A. Zona Norte,116303.86,54.0,2.0,1.0,0,0,0,0,0,0,0,0,0
25168,apartment,Ituzaingó,Bs.As. G.B.A. Zona Oeste,120000.0,45.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25169,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,225000.0,57.0,2.0,1.0,1,1,1,1,0,0,0,1,0
25170,apartment,Pilar,Bs.As. G.B.A. Zona Norte,107859.39,56.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25171,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,460000.0,270.0,1.0,1.0,0,1,1,1,1,0,1,0,0
25172,house,Adrogué,Bs.As. G.B.A. Zona Sur,264000.0,150.0,1.0,1.0,1,1,1,0,0,1,1,0,1
25173,apartment,Ituzaingó,Bs.As. G.B.A. Zona Oeste,200000.0,73.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25174,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,190000.0,48.0,2.0,1.0,1,1,1,1,0,0,0,1,0
25175,apartment,Pilar,Bs.As. G.B.A. Zona Norte,124030.56,59.0,2.0,1.0,0,0,0,0,0,0,0,0,0
25176,apartment,Banfield,Bs.As. G.B.A. Zona Sur,65000.0,75.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25177,apartment,Florida,Bs.As. G.B.A. Zona Norte,134680.0,46.0,2.0,1.0,0,0,0,0,0,0,0,1,0
25178,apartment,Parque Patricios,Capital Federal,73000.0,32.0,1.0,1.0,1,0,0,0,0,0,0,0,0
25179,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,240000.0,59.0,1.0,1.0,1,1,1,1,0,0,0,0,0
25180,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,170000.0,150.0,1.0,1.0,0,1,0,1,0,1,1,0,1
25181,house,General San Martín,Bs.As. G.B.A. Zona Norte,149000.0,118.0,1.0,1.0,1,0,0,0,0,1,0,1,0
25182,apartment,Pilar,Bs.As. G.B.A. Zona Norte,155092.17,70.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25183,apartment,Capital Federal,Capital Federal,215000.0,85.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25184,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,170000.0,170.0,1.0,1.0,0,1,1,0,0,1,1,0,1
25185,house,Del Viso,Bs.As. G.B.A. Zona Norte,100000.0,160.0,1.0,1.0,0,0,0,1,0,0,0,0,1
25186,apartment,La Plata,Bs.As. G.B.A. Zona Sur,95000.0,60.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25187,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,170000.0,160.0,1.0,1.0,0,1,0,1,0,1,1,1,0
25188,PH,Villa Ballester,Bs.As. G.B.A. Zona Norte,98000.0,61.0,1.0,1.0,0,0,0,0,0,1,1,0,0
25189,apartment,Adrogué,Bs.As. G.B.A. Zona Sur,220000.0,100.0,1.0,1.0,1,1,0,0,0,1,0,1,0
25190,apartment,La Plata,Bs.As. G.B.A. Zona Sur,80000.0,40.0,1.0,1.0,0,0,0,0,0,1,0,0,0
25191,apartment,Tigre,Bs.As. G.B.A. Zona Norte,205000.0,46.0,1.0,1.0,0,1,0,1,0,0,0,1,0
25192,house,Tigre,Bs.As. G.B.A. Zona Norte,680000.0,300.0,1.0,1.0,1,1,1,1,0,1,0,1,1
25193,apartment,Palermo,Capital Federal,193200.0,44.0,2.0,1.0,0,0,1,0,0,0,0,0,0
25194,apartment,Palermo,Capital Federal,235892.0,55.0,1.0,1.0,0,1,1,1,0,0,0,0,0
25195,apartment,Villa Ballester,Bs.As. G.B.A. Zona Norte,95000.0,55.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25196,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,180000.0,320.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25197,PH,Vicente López,Bs.As. G.B.A. Zona Norte,265000.0,132.0,1.0,1.0,1,0,1,0,0,1,1,0,0
25198,apartment,Olivos,Bs.As. G.B.A. Zona Norte,257175.0,51.0,2.0,1.0,0,1,0,0,0,0,0,0,0
25199,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,125000.0,154.0,1.0,1.0,0,0,0,1,0,1,1,1,0
25200,apartment,Belgrano,Capital Federal,640000.0,185.0,1.0,1.0,1,1,0,0,0,1,0,1,0
25201,apartment,Florida,Bs.As. G.B.A. Zona Norte,174000.0,57.0,1.0,1.0,1,1,1,1,0,0,0,1,0
25202,apartment,Capital Federal,Capital Federal,137000.0,49.0,2.0,1.0,0,0,0,0,0,0,0,1,0
25203,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,178000.0,165.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25204,apartment,Florida,Bs.As. G.B.A. Zona Norte,265000.0,81.0,1.0,1.0,1,1,1,1,0,0,0,1,0
25205,apartment,Belgrano,Capital Federal,640000.0,185.0,1.0,1.0,1,1,0,0,0,1,0,1,0
25206,apartment,Adrogué,Bs.As. G.B.A. Zona Sur,155000.0,95.0,1.0,1.0,1,0,0,0,0,1,0,0,0
25207,apartment,Villa Ballester,Bs.As. G.B.A. Zona Norte,148000.0,60.0,1.0,1.0,1,0,1,1,0,0,0,1,0
25208,house,Monte Grande,Bs.As. G.B.A. Zona Sur,195000.0,300.0,1.0,1.0,1,1,1,0,0,1,1,0,0
25209,apartment,Belgrano,Capital Federal,120000.0,42.0,2.0,1.0,0,0,0,0,0,1,0,0,0
25210,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,270000.0,180.0,1.0,1.0,0,0,1,0,0,1,1,1,0
25211,apartment,Florida,Bs.As. G.B.A. Zona Norte,178000.0,57.0,1.0,1.0,1,1,1,1,0,0,0,1,0
25212,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,212000.0,160.0,1.0,1.0,0,1,1,0,0,1,1,1,0
